ioapic(4, 4273995776, 0).
ioapic(5, 3489660928, 24).

rootbridge(addr(0, 0, 0), childbus(0, 127), mem(2952790016, 3489660927)).
% rootbridge(addr(0, 0, 0), childbus(0, 127), mem(0, 536870911)).

bar(addr(0, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(0, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(0, 6, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(0, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(0, 8, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(0, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(0, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(0, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(0, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(0, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).


bar(addr(1, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(1, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(1, 6, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(1, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(1, 8, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(1, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(1, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(1, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(1, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(1, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).

bar(addr(2, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(2, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(2, 6, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(2, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(2, 8, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(2, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(2, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(2, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(2, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(2, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).

bar(addr(3, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(3, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(3, 6, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(3, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(3, 8, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(3, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(3, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(3, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(3, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(3, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).

bar(addr(4, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(4, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(4, 6, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(4, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(4, 8, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(4, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(4, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(4, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(4, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(4, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).

bar(addr(5, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(5, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(5, 6, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(5, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(5, 8, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(5, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(5, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(5, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(5, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(5, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).

bar(addr(6, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(6, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(6, 6, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(6, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(6, 8, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(6, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(6, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(6, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(6, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(6, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).

bar(addr(7, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
bar(addr(7, 5, 0), 0, 2957049856, 33554432, mem, nonprefetchable, 64).
bar(addr(7, 6, 0), 0, 2957049856, 67108864, mem, nonprefetchable, 64).
bar(addr(7, 7, 0), 0, 2957049856, 131072, mem, nonprefetchable, 64).
bar(addr(7, 8, 0), 0, 2957049856, 262144, mem, nonprefetchable, 64).
bar(addr(7, 9, 0), 0, 2957049856, 524288, mem, nonprefetchable, 64).
bar(addr(7, 10, 0), 0, 2957049856, 1048576, mem, nonprefetchable, 64).
bar(addr(7, 11, 0), 0, 2957049856, 2097152, mem, nonprefetchable, 64).
bar(addr(7, 12, 0), 0, 2957049856, 4194304, mem, nonprefetchable, 64).
bar(addr(7, 13, 0), 0, 2957049856, 8388608, mem, nonprefetchable, 64).

bar(addr(8, 4, 0), 0, 2957049856, 16777216, mem, nonprefetchable, 64).
